tweet,location
"Respected Indian Citizens, Namaskaar🙏🙏
👉I am the original Gandhi. 
👉I have No Branches 
👉No franchises. 
👉None of my relatives are in Politics. 
*Beware of FAKE Gandhis.* 
*Take care🙏* https://t.co/pqWj3sYjqp",Lucknow
@rohan_rohit Please read chanakya my dear then blabber it is one of the philosophies he quoted to have greater nation and being used by many ages and your prince is providing it right as well by colliding with chineses and asking foreign countries to help in Indian politics.,Hyderabad
The way the opposition political parties are creating chaos in Indian Democratic Politics : It's time a ruthless Dictatorship rule has to be implemented for years to come &amp; abolish the multiparty in politics.... and it's inevitable. It will happen sooner or later @Jairam_Ramesh,Kolkata
"US Watching Rahul's Case In Indian Courts: State Department

#IndiaWest #RahulGandhi #PoliticalNews #Politics #IndianNationalCongress #Congress #WashingtonDC #Washington

https://t.co/nGaOIiHWvn",Mumbai
"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/GOfGZf0uF4",Hyderabad
@ashokgehlot51 What a cheap level of politics tactics and media publicity is being used by Raj Govt. I guess they should go to Bollywood for their display of fictional videos. Really Indian public is such a fool. Shame on you all,Bengaluru
"@vijaygajera Encouragement  should be done to induce more and more bhrahmins in Indian civil services and also in politics. 

Like Muslims are doing free coaching and etc to induce Muslim in civil services",Mumbai
@Cricketracker Indian use politics in cricket,Bengaluru
"@AitcProvat @INCIndia INC had squandered another precious, rare opportunity recently - in Bihar 2020.   Their seemingly casual, non-serious &amp; lazy approach to electoral politics is utterly astounding. 
Indian voters, broadly, vote rationally- despite all the irrational/poor electoral choices they get.",Ahmedabad
"@INCIndia Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/jk2FwRHLLo",Mumbai
"A story of Indian politics these days 
🐆 Rahul 
🐊 opponents",Lucknow
"Indian Politics.
#Politics #India https://t.co/7rLtCEzIQC",Pune
"@Sab_mile_Hue @madhukishwar @RatanSharda55 @AtriNeeraj @Sanjay_Dixit @TufailChaturve They are commentators.
They can't decipher the character of the Indian State.

Hindus were wary of the UPA rule.
Now they are totally disappointed with NDA rule.

No Hindu knows mathematics, politics, diplomatic language.
Enjoy ☺️",Delhi
@scribe_it I think generally BJP and Indian Government is loyal to Truth and Freedom; but I don’t know if it has been Politicized or Corporatized having been in Indian Politics.,Delhi
"@AlenCBabu1 In different parts of the nation  different communities show their might &amp;  overshadow others right from independence because of appeasement politics played by various parties.
We reiterate: everyone of every religion should be Indian first.
Appeasement politics has been played",Hyderabad
"@rupamurthy1 @POTUS @narendramodi If your are in US, y are you interfering with Indian politics?",Bengaluru
"Hate speeches will go away when politicians stop using religion in politics, says Supreme Court | India News,The Indian Express https://t.co/1kWd3C25uB",Hyderabad
@Sanginamby Had no clue he was sanghi what a waste of his intelligence but nonetheless NRI’s should have no opinion or participation in Indian politics play where u pay ur taxes,Hyderabad
@ANI Ur own law minister called few of Retired judges r anti Indian. All lawyers condemned but dint file case against!! What's use in doing when no power in hand ? Never knew Expressing=2yrs jail . It's personal hate politics oppressing strong voices !! It's not public favouring,Lucknow
"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/RQbRYHvRZU",Delhi
Now hindus r real khatrei mhei Hai bcoz of vote bank politics of bjp @Indian_Analyzer,Bengaluru
@sagarikaghose You don't get people holding that affection and demeanour towards opposition and even enemies  in Indian politics today.,Pune
"Fantastically poised.

Cong MLAs can go Tamil Nadu where they are in govt

JDS MLAs can go to Kerala where they are with LDF

BJP MLAs have two options of Goa &amp; Maharashtra

Others can go to Telangana

Resort politics is back 🤠 https://t.co/X2lDtsYQpv",Ahmedabad
"@sanjaynirupam The victory of @INCIndia in Karnataka will be turning point of Indian politics.
@RahulGandhi @priyankagandhi
@digvijaya_28 @JVSinghINC
@_SandeepDikshit @drajoykumar
@VijayIndrSingla @ShashiTharoor
@KBByju @navjivanindia
@vidyarthee @VineetPunia
@pranavINC
https://t.co/lGzq2HBHxM",Ahmedabad
"If #SupremeCourtOfIndia @SupremeCourtFan start take a taking action against the people who use religion for their politics.
Than it automatically stop.

#cjichandrachud",Pune
"@sanjaynirupam It will be turning point of Indian politics.
https://t.co/jwJqnmAMDm",Bengaluru
"I request to Indian  armforces. Enter in Pakistan  and blow head of Imran khan and give  message to  people, discipline is important. No Islamophobia. It's  matter of protection of innocent life. No politics.",Lucknow
"'ye apne apradhon ke beparda hone k bhay se ikattha hue hain' this sums up the current political scenario in the country.
This Sushma Ji speech was relevant in 1996, in 2004, in 2018, now and will continue to be relevant in Indian politics in coming future. 
@BansuriSwaraj",Jaipur
"@LangaMahesh @ShuklaRajiv So being a dedicated &amp; loyal Politician in Indian Democracy, has to be someone who offers his bungalow to the biggest dynast in Indian Politics. 
Nice to knwo that",Pune
May be madness can come those are sensitive and perhaps indian politicians  thought like this way to do politics of fisherman's fish and cow beef  and goat meet and khana khana khana.,Chennai
@Aryaismm Indian state has mechanisms to make sure our elites who rise up the ladder end up turning traitor. American elites who rise up still haven't changed fundamentals of their nation which is needed in India to free it from caste politics shackels.,Jaipur
@ajithvakeel That is Indian politics 🤣,Delhi
"Respected Indian Citizens, Namaskaar🙏I am the original #Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/Otrgm2UEt9",Lucknow
@ANI Your party got emotionally charged mandate after the demolition of Babri Mosque in 1992. Your party literally destroyed India's peace and unity and plunged it into atmosphere of hate and violence to remain alive in Indian politics. You're hell bent on eliminating opposition.,Jaipur
"@karthiks @sanjeevsanyal Matter of time. It'll get to where the US is. Media environment drives this. Anyway, Indian politics has only had a handful of years in the last 75 when it was actually competitive and not completely unipolar one way or the other. Unlike US where a 51-49 is a huge margin.",Ahmedabad
"Wow! The history of Indian politics has changed! If there are no issues to discuss in the Delhi Assembly, why not spend time criticizing the central government and PM Modi, Mr. Kejriwal? #DelhiAssembly #Kejriwal #CentralGovernment #PMModi #NoIssues #sarcasm",Jaipur
"https://t.co/oab4e9tSh2
Scoop R Rajagopalan I Rahul's big move I Uddhav cozying up to Modi? I New twist in Indian Politics?",Chennai
"@himantabiswa In a world where politicians like @RahulGandhi often try to bypass the Constitution of India, CM @himantabiswa statement in the #AssamLegislativeAssembly is a breath of fresh air.
 I like this man. He is heading towards bigger role in Indian politics https://t.co/kiq8PYqwko",Pune
"*Respected Indian Citizens, नमस्कार. I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care* 🙏🏻 https://t.co/tq4yPakwGJ",Chennai
"@d_s_thakur @Preddy85 Despite having the facts in front of them and recent cases of poor quality control issues leading to human deaths, they seem to ve so lax about it. The international community did not put enough pressure on the Indian Pharma industry. That's why. 😡",Delhi
@Enraged_Indian This too wont solve the problem unless foreign govts start deporting Indians who attempt to disrupt their environment with Indian politics. Rotten fish invariably spoiling the pond.,Jaipur
@HariKKaja @unexpected5678 In Indian politics there are so many open mouths for money all you need fill . Lets demystify what exactly reforms a state govt. can do or did in CBN term? Blanket statement looks great but what is that great?  Did AP reformed import policy or name one policy reform plz enlighten,Bengaluru
@abubakar_django @vikrantgupta73 There should be politics in sports.,Lucknow
"Ridiculous how indian politics stops the best source of entertainment for the public of both the countries. It's the passionate fans like me from both sides who want to see ind playing here and Pak playing in india, what a loss for fans if it actually did not take place 🥲",Mumbai
@kartha_tara @vivek4wild @moefcc @IndiaToday Indian politics u.u,Hyderabad
@Shehzad_Ind Self advertising loser and turncoat.  Have you ever won a municipal election? You are just a nondescript in Indian politics.,Kolkata
"@bseshadri Yes, Annamalai, who wanted to do politics with the dead body of an Indian soldier is a great asset to BJP!",Jaipur
"Now there is no Modi Sarkar #Modani Sarkar.
#ChowkidarChorHai
#India #Indian #Indians #PoliticsLive
#politics #राजनीती #राजकारण",Pune
"@t_d_h_nair hope you can answer few qstn.
Is current Foreign minister's wife aspiring for any position in indian polity 
is his son/dynasty/Dienasty trying to get into politics. 

The issue with Rajiv's wife is that she was aspiring to take up the highest position and is a concern.",Lucknow
"Before Parineeti Chopra And Raghav Chadha, These Bollywood Actresses Were Linked With Indian Politicians

https://t.co/FJn7X4S1m4

#ParinitiChopra #RaghavChadha #Bollywood #politics #entertainment #RadioCity",Pune
Very soon the most sly character in Indian politics @ArvindKejriwal's mask of honesty shall fall off and people will know the truth about his honesty propaganda.,Mumbai
"@t_d_h_nair Dont peddle half baked news. Mr.Jaishankar remarried after the demise of his 1st wife, so that his kid/s can be taken care.

And she is not involved in Indian politics &amp; neither the kids are in Indian politics.

And u call yourself a ""Journalist"" !!!!!",Delhi
"@lfcriggs @ESPNcricinfo So is Pakistan because TTP is Indian proxy and won’t hurt Indian players but again, everything is being done due to politics and not due to security reasons.",Mumbai
@timesofindia That that is the biggest Fraud in Indian politics over the last 60 years!,Hyderabad
"@IAMCouncil @POTUS @Ilhan @bridgeinit @Ilhan you are representative of Congress in US. You should focus your energy how to improve lives of common Americans in USA. Do not poke your nose in Indian politics. If you continue , you will get a bloody nose..Gun culture, mass shootings in your country....",Mumbai
@Politics_2022_ Target 150+,Delhi
"@beingAAPian @ArvindKejriwal @BhagwantMann People of Guwahati ll see for the first time..the chor of Delhi and comedian of Punjab..both are in the same platform. The liers of Indian politics ll visit Guwahati on 2nd April..AAP , the most corrupt party in the Indian History.  Delhi ka beta kejriwal. https://t.co/AmnZVVAB3R",Chennai
Indian secular polity vs pak intellengentia. Brainwashed the rural villager lied upon to fight in foreign territory to free his people . Well force foreign countries to invest and keep dead politics alive due to instability. Hmm,Jaipur
"Feeling pity for Arvind Kejriwal.
Rose like a star after Anna Hazare's movement.
Going down as the most corrupt, incompetent and self obsessed politician in history of Indian politics.

All in just one decade.",Bengaluru
QUESTION ABOUT SILICON VALLEY BANK ...  They're DONATE MONEY TO BLACK LIFE MATTER MOVEMENT .. MILLIONS OF DOLLARS ?????  One of The Indian MEDIA REPORTS (VANTAGE) .. BANK DO POLITICS WITH OUR MONEY ???,Jaipur
"@4thSannin @mzqunta @GhalebCachalia I'm Indian and I dont share your views.

I think there is large majority of people of color that don't see through this facade of  victim mentality and blame game. We suffered the same under the system, but refuse to be sucked into this hole of identity politics and race baiting",Jaipur
"@AishwaryakiRai Do you know, the Khalistani agenda plays a small part in this Punjab bifurcation &amp; formation of Haryana?

Haryana people are nationalists in India &amp; outside too.

Punjab politics is just opposite to Haryana.

I know a bit much more than an average elite north Indian when compared",Mumbai
"@rupamurthy1 @POTUS @narendramodi @JoeBiden,

We need safe schools, freedom to live without the fear of guns &amp; better infrastructure.

We do not useless US interference in the politics &amp; judiciary of the Indian government in favor of an incompetent @RahulGandhi who can never win an election &amp; is a liability.",Hyderabad
"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/V9MPr9TGiT",Lucknow
@Somi_StyaLes17 @Sports_Himanshu What would you know about indian team politics,Chennai
"She’s a gem 💎 
The most underrated entertainer in Indian politics 🤡
Pappu purana ho gaya, Momota didi is the show stealer 🤩

#RahulGandhi
#MamataBanerjee 

https://t.co/1MeRkFHR6i",Kolkata
"@NigarNawab There is no such thing as "" Dharm ka istemal karna band karna"" the whole point of Indian politics is religious propaganda.",Pune
OBC Cabinet Minister in  Modi 2.0 Cabinet for the first time in history of Indian Politics . #BJPOBCMPMeet,Chennai
"@AngusMacNeilSNP Why does Sunak mimic Tony Blair in speech &amp; mannerisms.
Was Blair his secret lover or crush at one time .
Nothing would shock me in UK politics.
An Indian Tony Blair,and why not indeed.
What next! A Pakistani Sturgeon as First Minister in Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿? !!
@21WIRE",Hyderabad
"@Ripudaman2139 @ramanmann1974 No sir, we all as Indian citizen, only abide by the constitution. No religious place holds any significance in matters of law. Religious leaders either need to do their religious work or should leave that and come in politics. Can't do both.",Hyderabad
"A coup d'etat by Jahangir's childhood friend Mahabat Khan and the deal the latter struck with his eventual successor, Khurram (Shah Jahan) brings out the often overlooked complexity of Mughal politics. A 🧵👇

[1/n] https://t.co/hwES4O5JZF",Hyderabad
"Indian National Congress : WATCH: Press Conference by Smt. Alka Lamba in Muzaffarpur, Bihar. https://t.co/aSmUmzQK10 : March 29, 2023 at 04:58PM",Bengaluru
"@priyankagandhi @narendramodi Priyanka ji, you guys have outlived your usefulness to our dear country. All the frauds 3G, 4G, CWG, and lost opportunities of last 70 years, I beg you to leave political discourse. No one needs you, and you and your brother are just the jokes of Indian politics.",Mumbai
"Well said Justice KM Jòsèph, need of the hour is segregation of politics &amp; religion ! 
Current regime have mixed it so deep and made it like wax so segregation of politics &amp; religion is a Herculean task ! 
#HateSpeech https://t.co/gIOkP7uDXI",Chennai
"@SanjayAzadSln This man is a curse in Indian politics. He has created records in double speak,telling pure lies,abusing one and all,has a gang of scamsters some of them are in jail and some are in waiting but is highly thick skineed repeat offender",Ahmedabad
"@DrSYQuraishi Yes here supreme court  correctly said that, hate towards casts religions are fabricated by wasted intrest of politics and activists , activists are implementing agenda against India and Indian culture",Lucknow
cartoon character of Indian politics. @RahulGandhi #RahulGhandi,Pune
@Chrissuccess Even #JayaJayaJayaJayahey best  indian adoption,Ahmedabad
"Today, we will have Rajesh Kumar, Jagriti Rahi, and Virendra Singh with us to talk to our cohort about Purvanchal factor in the Politics of the Country and the State. #TheGoodPolitician #Varanasi https://t.co/59sUrOGSMk",Delhi
@elonmusk has surrendered to Indian Hate politics,Delhi
@JhaSanjay #rahul Gandhi nahi hai per that's y Rahul Gandhi is irrelevant in Indian politics... No doubt rahul is gentleman but look who is standing next to him.... Is modi..... That's y easy opponent for modi is always congress or Rahul Gandhi,Bengaluru
"Rahul Gandhi has become the
 'biggest hero' in Indian politics today.
   @ShatruganSinha https://t.co/uup0dvHBiV",Hyderabad
"Just a random thought. 
If not Modi then who? Every time this question arises, and the only answer we're left with is either Yogi, Amit Shah or Gadkari.

Well why not Mr. S. Jaishankar comes to our mind. The real dark horse of Indian politics.",Kolkata
@CricCrazyJohns Yes as an indian i also want this...  Why you bring politics in sports man..,Kolkata
"Get ready for a thrilling journey into the heart of ancient India as we explore the Philosophy, Psychology, and Politics of the great Indian Epic, #Ramayan! We will unravel the timeless wisdom hidden in its captivating stories. But first, here's a quick summary into the… https://t.co/uACAxVtLs3",Kolkata
@NeddyPott @tollingin @UnionDrip @SocDoneLeft Uranium is not the only fuel you can use for nuclear either. Indian Point #1 ran on Thorium for years before politics forced its shutdown.,Mumbai
"@PaulHamed2 @andyverity @EdConwaySky @faisalislam Saw same in South Africa.
The hardline Afrikaners were not in favour of monetary targets but credit ceilings.
PW Botha not a hardliner(FW De Klerk was to his right) ascendancy saw monetary targets introduced .
Today above tensions playing out in Indian politics.Source: FT readers",Mumbai
@iAnkurSingh He is the most unfortunate to happen to Indian politics,Pune
@drvarungurjar @SirKazamJeevi He knows what congress did for 70 years . Wat was hidden and wat was burried ! U Twitter babies finding about Indian politics nowadays and trying to sell few tweets !,Lucknow
Dynastic. Indian politics,Ahmedabad
"Cope. 

Gramsci cells who actually do this while not knowing how Soviets actually handled demographics esp regards subalts will be an irony of Indian activist politics.",Jaipur
"Ashwini Vaishnaw alleged that the Congress leader considers it his “birthright” to rule the country since he is born to a certain family. His arrogance has disqualified him from Lok Sabha.
#RahulGhandi #RahulGandhi #RahulDisqualified #Rahul_Gandhi #Indian #Indian2 #Politics https://t.co/biPJdk396H",Jaipur
"Mahatma Gandhi, a Hindu. When the Hindus &amp; Christians in India got fed up of this Muslim appeasement politics of the Congress and started voted for the BJP and other parties, 
what is the reason why the Muslim community's love &amp; affection towards the Congress never decreased? 5/5",Hyderabad
"@mairal So thats why it keeps supporting Pakistan militarily, it keeps supporting and funds anti-India islamists and Khalistanis &amp; it directly interferes in India's internal politics. Its Navy illegally enters into Indian waters claiming to be undertaking freedom of navigation missions.",Lucknow
@nirmal_indian compulsory hai niche 3 holiday ?,Mumbai
"I don't  take responsibility of surname joshi family &amp; hatred of brahmin &amp; caste community on Indian soil.

My family is different.  I only take responsibility of my  family  members.We cared people . It's modi &amp; vajpayee sir did politics.

Don't  insult kalam sir name &amp; work.",Bengaluru
"Indian National Congress : WATCH: Press Conference by Shri Akhilesh Pratap Singh in Ranchi, Jharkhand. https://t.co/yECIN1p5TO : March 29, 2023 at 05:00PM",Delhi
"Indian National Congress : WATCH: Press Conference by Smt. Dolly Sharma in Jabalpur, Madhya Pradesh. https://t.co/5qS0QOg0XC : March 29, 2023 at 04:34PM",Hyderabad
"Union minister Ashwini Vaishnaw questions why Rahul Gandhi considers it his “birthright” to rule the country since he is born to a certain family.
#RahulGhandi #RahulGandhi #RahulDisqualified #Rahul_Gandhi #Indian #Indian2 #Politics #PoliticsLive #PoliticsToday #LokSabha https://t.co/TGWYwCbQ9V",Pune
"My honest comment ..

1. BJP is giving too much importance to Rahul Gandhi. It's evident.

2. Indian Muslims are as much as part of India as the rests are.

3. True that Farmer's Movement is not people's movement yet Modi Government succumbed to it because of Votebank Politics.",Ahmedabad
"This is the state of Indian judiciary,  on diwali cracker issue the rejected IIT Rorkee and IIT kanpur report.
but the moment peaceful religion enters they said politics and religion to be seprate.
#BananaRepublic 
#bananajudiciary",Hyderabad
@shanmugamchin10 Media is a prestitue location in Indian politics now .,Lucknow
"@JhaSanjay Their politics is based on Defame, Defame, Defame and again Defame. Then Apologise, Apologies, Apologies and if need be fall on the feet. 

If that’s a delight for you then God Save the Indian Democracy.",Pune
"@ShivAroor He wants to be eliminated from Indian politics &amp; go on a permanent vacation

Mummy, Pidis &amp; his PR team need him for their own sustenance",Lucknow
"Ashwini Vaishnaw alleged that the Congress leader considers it his “birthright” to rule the country since he is born to a certain family. His arrogance has disqualified him from Lok Sabha.
#RahulGhandi #RahulGandhi #RahulDisqualified #Rahul_Gandhi #Indian #Indian2 #Politics",Lucknow
"@priyankac19 @SEBI_India All business do it all the time .. why do Indian politicians r hell bent on destroying Indian business ? Mind your own politics, constant adani adani simply hints tht ppl r right whn they they  say some politicians , media r under payroll of soros",Bengaluru
@rishsamjain @ashokepandit Indian Politics ☕☕,Delhi
@ANI I like this man. He is heading towards bigger role in Indian politics,Jaipur
"Taking a strong exception to fringe elements making hate speeches, the Supreme Court said the moment politics and religions are separated and politicians stop using religion in politics, such speeches will go away.

https://t.co/mQIQ6xS4hx",Kolkata
"We all know how Modi whole dirty politics is Muslim/Hindu propaganda. Indain Muslims need to be united as soon as possible.I can't understand why  Million of indian MUSLIMS are so powerless OUR real power is EMAN. #IndianMuslimsUnderAttack #indianmuslim 

https://t.co/aj62pD7f5G",Jaipur
"Gratitude Indian should understand Congress party is not right for Indian it does very dirty politics
#कांग्रेसी_विचार_धारा_का_अंत https://t.co/3K6f0pVIWs",Kolkata
"@ABPNews TUGHLAQs galore in INDIAN politics. 
...kis kis ko nikale aur bachaye ....HUM LOG BECHARE  ?🙄😷😭",Chennai
"@RahulGandhi Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/I2IWqVat0N",Jaipur
"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏
@RahulGandhi @priyankagandhi https://t.co/hnBvBmD7qG",Hyderabad
